lap,stint_lap,lap_time,compound,s1,s2,s3,speed_trap,gap,flag,track_temp,driver
1,1,85.240,HARD,26.420,31.850,26.970,348.5,3.20,GREEN,44.2,LEC
2,2,82.150,HARD,25.460,30.700,25.990,352.4,3.05,GREEN,44.2,LEC
3,3,81.980,HARD,25.410,30.640,25.930,352.8,2.90,GREEN,44.3,LEC
4,4,81.860,HARD,25.370,30.600,25.890,353.1,2.80,GREEN,44.3,LEC
5,5,81.790,HARD,25.350,30.570,25.870,353.4,2.75,GREEN,44.4,LEC
6,6,81.740,HARD,25.330,30.550,25.860,353.6,2.70,GREEN,44.4,LEC
7,7,81.710,HARD,25.320,30.540,25.850,353.8,2.65,GREEN,44.5,LEC
8,8,81.700,HARD,25.320,30.540,25.840,353.9,2.60,GREEN,44.5,LEC
9,9,81.720,HARD,25.330,30.550,25.840,353.8,2.58,GREEN,44.6,LEC
10,10,81.750,HARD,25.340,30.560,25.850,353.7,2.55,GREEN,44.6,LEC
11,11,81.790,HARD,25.350,30.580,25.860,353.5,2.50,GREEN,44.7,LEC
12,12,81.840,HARD,25.370,30.600,25.870,353.4,2.48,GREEN,44.7,LEC
13,13,81.900,HARD,25.390,30.620,25.890,353.2,2.45,GREEN,44.8,LEC
14,14,81.970,HARD,25.410,30.650,25.910,353.0,2.42,GREEN,44.8,LEC
15,15,82.050,HARD,25.430,30.680,25.940,352.8,2.40,GREEN,44.9,LEC
16,16,82.140,HARD,25.460,30.710,25.970,352.6,2.38,GREEN,44.9,LEC
17,17,82.240,HARD,25.490,30.750,26.000,352.3,2.35,GREEN,45.0,LEC
18,18,82.350,HARD,25.530,30.790,26.030,352.0,2.32,GREEN,45.0,LEC
19,19,82.470,HARD,25.570,30.840,26.060,351.7,2.30,GREEN,45.1,LEC
20,20,82.600,HARD,25.610,30.890,26.100,351.4,2.28,GREEN,45.1,LEC
21,21,82.750,HARD,25.660,30.940,26.150,351.0,2.25,GREEN,45.2,LEC
22,22,82.910,HARD,25.710,31.000,26.200,350.6,2.22,GREEN,45.2,LEC
23,23,83.090,HARD,25.770,31.070,26.250,350.2,2.20,GREEN,45.3,LEC
24,24,83.290,HARD,25.830,31.150,26.310,349.7,2.18,GREEN,45.3,LEC
25,25,83.520,HARD,25.900,31.240,26.380,349.1,2.15,GREEN,45.4,LEC
26,26,83.780,HARD,25.980,31.340,26.460,348.5,2.12,GREEN,45.4,LEC
27,27,84.080,HARD,26.070,31.450,26.560,347.8,2.10,GREEN,45.5,LEC
28,28,84.420,HARD,26.180,31.580,26.660,347.0,2.08,GREEN,45.5,LEC
29,29,84.810,HARD,26.300,31.730,26.780,346.1,2.05,GREEN,45.6,LEC
30,30,85.250,HARD,26.440,31.890,26.920,345.0,2.00,GREEN,45.6,LEC
