lap_number,stint_lap,raw_lap_time,compound,s1,s2,s3,speed_trap,gap_to_ahead,flag_status,is_out_lap,is_in_lap,track_temp_c,ambient_temp_c,driver
1,1,92.140,MEDIUM,28.840,39.420,23.880,312.4,4.20,GREEN,1,0,41.5,24.8,NOR
2,2,87.820,MEDIUM,27.380,37.560,22.880,317.8,3.85,GREEN,0,0,41.5,24.8,NOR
3,3,87.640,MEDIUM,27.320,37.480,22.840,318.2,3.40,GREEN,0,0,41.6,24.8,NOR
4,4,87.510,MEDIUM,27.280,37.420,22.810,318.5,2.95,GREEN,0,0,41.6,24.9,NOR
5,5,87.420,MEDIUM,27.250,37.380,22.790,318.9,2.60,GREEN,0,0,41.7,24.9,NOR
6,6,87.350,MEDIUM,27.220,37.350,22.780,319.1,2.15,GREEN,0,0,41.8,25.0,NOR
7,7,87.290,MEDIUM,27.200,37.320,22.770,319.4,1.80,GREEN,0,0,41.8,25.0,NOR
8,8,87.680,MEDIUM,27.350,37.520,22.810,316.2,0.85,GREEN,0,0,41.9,25.1,NOR
9,9,87.740,MEDIUM,27.380,37.540,22.820,315.8,0.72,GREEN,0,0,41.9,25.1,NOR
10,10,87.810,MEDIUM,27.410,37.560,22.840,315.4,0.65,GREEN,0,0,42.0,25.2,NOR
11,11,87.320,MEDIUM,27.210,37.330,22.780,319.5,2.80,GREEN,0,0,42.0,25.2,NOR
12,12,87.380,MEDIUM,27.230,37.360,22.790,319.2,3.10,GREEN,0,0,42.1,25.3,NOR
13,13,87.450,MEDIUM,27.250,37.390,22.810,318.8,3.45,GREEN,0,0,42.1,25.3,NOR
14,14,87.520,MEDIUM,27.280,37.420,22.820,318.5,3.80,GREEN,0,0,42.2,25.4,NOR
15,15,88.950,MEDIUM,27.850,38.100,23.000,310.2,4.10,YELLOW,0,0,42.2,25.4,NOR
16,16,87.680,MEDIUM,27.320,37.500,22.860,318.1,4.35,GREEN,0,0,42.3,25.5,NOR
17,17,87.780,MEDIUM,27.360,37.540,22.880,317.8,4.60,GREEN,0,0,42.3,25.5,NOR
18,18,87.890,MEDIUM,27.400,37.590,22.900,317.4,4.90,GREEN,0,0,42.4,25.6,NOR
19,19,88.020,MEDIUM,27.440,37.650,22.930,317.0,5.20,GREEN,0,0,42.4,25.6,NOR
20,20,88.160,MEDIUM,27.490,37.710,22.960,316.5,5.45,GREEN,0,0,42.5,25.7,NOR
21,21,88.320,MEDIUM,27.540,37.780,23.000,316.1,5.70,GREEN,0,0,42.5,25.7,NOR
22,22,88.510,MEDIUM,27.600,37.860,23.050,315.6,5.90,GREEN,0,0,42.6,25.8,NOR
23,23,88.740,MEDIUM,27.680,37.960,23.100,315.0,6.15,GREEN,0,0,42.6,25.8,NOR
24,24,89.020,MEDIUM,27.780,38.080,23.160,314.2,6.40,GREEN,0,0,42.7,25.9,NOR
25,25,89.380,MEDIUM,27.900,38.220,23.260,313.4,6.65,GREEN,0,0,42.7,25.9,NOR
26,26,89.850,MEDIUM,28.050,38.420,23.380,312.2,6.90,GREEN,0,0,42.8,26.0,NOR
27,27,90.450,MEDIUM,28.250,38.680,23.520,310.8,7.15,GREEN,0,1,42.8,26.0,NOR
